tempo,breque,cria_jur_1,cria_jur_2,jus_estr,exec_jur_1,exec_jur_3,jus_exec
543,vem monstro,0.00,0.00,,0.00,0.00,
544,vem monstro,0.00,0.00,,0.00,0.00,
545,vem monstro,0.00,0.00,,0.00,0.00,
546,vem monstro,0.00,0.00,,0.00,0.00,
547,vem monstro,0.00,0.00,,0.00,0.00,
548,vem monstro,0.00,0.00,,0.00,0.00,
549,vem monstro,0.00,0.00,,0.00,0.00,
550,vem monstro,0.00,0.00,,0.00,0.00,
551,vem monstro,0.00,0.00,,0.00,0.00,
552,vem monstro,0.00,0.00,,0.00,0.00,
553,vem monstro,0.00,0.00,,0.00,0.00,
554,vem monstro,2.00,0.00,varicao ritmica,0.00,0.00,
555,vem monstro,0.00,0.00,,0.00,0.00,
556,vem monstro,0.00,0.00,,0.00,0.00,
557,vem monstro,0.00,0.00,,0.00,0.00,
558,vem monstro,0.00,0.00,,0.00,0.00,
559,vem monstro,0.00,0.00,,0.00,0.00,
560,vem monstro,0.00,0.00,,0.00,0.00,
561,vem monstro,0.00,0.00,,0.00,0.00,
562,vem monstro,0.00,0.00,,0.00,0.00,
563,vem monstro,0.00,0.00,,0.00,0.00,
564,vem monstro,0.00,0.00,,0.00,0.00,
565,vem monstro,0.00,0.00,,0.00,0.00,
566,vem monstro,0.00,0.00,,0.00,0.00,
567,vem monstro,0.00,0.00,,0.00,0.00,
568,vem monstro,0.00,0.00,,0.00,0.00,
569,vem monstro,0.00,0.00,,0.00,0.00,
570,vem monstro,0.00,0.00,,0.00,0.00,
571,vem monstro,0.00,0.00,,0.00,0.00,
572,vem monstro,1.00,0.00,bossa,0.00,0.00,
573,vem monstro,0.00,1.00,retomada,0.00,0.00,
574,vem monstro,0.00,0.00,,0.00,0.00,
575,vem monstro,0.00,0.00,,0.00,0.00,
576,vem monstro,0.00,0.00,,0.00,0.00,
577,vem monstro,0.00,0.00,,0.00,0.00,
578,vem monstro,0.00,0.00,,0.00,0.00,
579,vem monstro,0.00,0.00,,0.00,0.00,
580,vem monstro,0.00,0.00,,0.00,0.00,
581,vem monstro,0.00,0.00,,0.00,0.00,
582,vem monstro,0.00,0.00,,0.00,0.00,
583,vem monstro,0.00,0.00,,0.00,0.00,
584,vem monstro,0.00,0.00,,0.00,0.00,
585,vem monstro,0.00,0.00,,0.00,0.00,
586,samba,0.00,0.00,,0.00,0.00,
587,samba,0.00,0.00,,0.00,0.00,
588,samba,0.00,0.00,,0.00,0.00,
589,samba,0.00,0.00,,0.00,0.00,
590,samba,0.00,0.00,,0.00,0.00,
591,samba,0.00,0.00,,0.00,0.00,
592,samba,0.00,0.00,,0.00,0.00,
593,samba,0.00,0.00,,0.00,0.00,
594,samba,0.00,0.00,,0.00,0.00,
595,samba,0.00,0.00,,0.00,0.00,
596,samba,0.00,0.00,,0.00,0.00,
597,samba,2.00,0.00,bossa,0.00,0.00,
598,samba,0.00,0.00,,0.00,0.00,
599,samba,0.00,0.00,,0.00,0.00,
600,samba,0.00,1.00,variacao ritmica,0.00,0.10,caixas
601,samba,0.00,0.00,,0.00,0.00,
602,samba,0.00,0.00,,0.00,0.00,
603,samba,0.00,0.00,,0.00,0.00,
604,samba,0.00,0.00,,0.00,0.00,
605,samba,0.00,0.00,,0.00,0.00,
606,samba,0.00,0.00,,0.00,0.00,
607,samba,0.00,0.00,,0.00,0.00,
608,xilindró,0.00,0.00,,0.00,0.00,
609,xilindró,0.00,0.00,,0.00,0.00,
610,xilindró,0.00,0.00,,0.00,0.00,
611,xilindró,0.00,0.00,,0.00,0.00,
612,xilindró,0.00,0.00,,0.00,0.00,
613,xilindró,0.00,0.00,,0.00,0.00,
614,xilindró,0.00,0.00,,0.00,0.00,
615,xilindró,2.00,0.00,bossa,0.00,0.00,
616,xilindró,0.00,0.00,,0.00,0.00,
617,xilindró,0.00,0.00,,0.00,0.00,
618,xilindró,0.00,0.00,,0.00,0.00,
619,xilindró,0.00,0.00,,0.00,0.00,
620,xilindró,0.00,1.00,variacao ritmica,0.00,0.00,
621,xilindró,0.00,0.00,,0.00,0.00,
622,xilindró,0.00,0.00,,0.00,0.00,
623,xilindró,0.00,0.00,,0.00,0.00,
624,xilindró,0.00,0.00,,0.00,0.00,
625,xilindró,0.00,0.00,,0.00,0.00,
626,xilindró,0.00,0.00,,0.00,0.00,
627,xilindró,0.00,0.00,,0.00,0.00,
628,xilindró,0.00,0.00,,0.00,0.00,
629,xilindró,0.00,0.00,,0.00,0.00,
630,xilindró,0.00,0.00,,0.00,0.00,
631,xilindró,0.00,0.00,,0.00,0.00,
632,xilindró,0.00,0.00,,0.00,0.00,
633,xilindró,0.00,0.00,,0.00,0.00,
634,xilindró,0.00,0.00,,0.00,0.00,
635,xilindró,0.00,0.00,,0.00,0.00,
636,xilindró,0.00,0.00,,0.00,0.00,
637,xilindró,0.00,0.00,,0.00,0.00,
