tempo,breque,cria_jur_1,cria_jur_2,jus_estr,exec_jur_1,exec_jur_3,jus_exec
128,samba,0.00,0.00,,0.00,0.00,
129,samba,0.00,0.00,,0.00,0.00,
130,samba,0.00,0.00,,0.00,0.00,
131,samba,0.00,0.00,,0.00,0.00,
132,samba,0.00,0.00,,0.00,0.00,
133,samba,0.00,0.00,,0.00,0.00,
134,samba,0.00,0.00,,0.00,0.00,
135,samba,0.00,0.00,,0.00,0.00,
136,samba,0.00,0.00,,0.00,0.00,
137,samba,0.00,0.00,,0.00,0.00,
138,samba,0.00,0.00,,0.00,0.00,
139,samba,0.00,0.00,,0.00,0.00,
140,samba,0.00,0.00,,0.00,0.00,
141,dois cu,0.00,0.00,,0.00,0.10,tamborins
142,dois cu,0.00,0.00,,0.00,0.00,
143,dois cu,0.00,0.00,,0.00,0.00,
144,dois cu,0.00,0.00,,0.00,0.00,
145,dois cu,0.00,0.00,,0.00,0.00,
146,dois cu,0.00,0.00,,0.00,0.00,
147,dois cu,2.00,0.00,bossa,0.00,0.00,
148,dois cu,0.00,0.00,,0.00,0.00,
149,dois cu,0.00,0.00,,0.00,0.00,
150,dois cu,0.00,0.00,,0.00,0.10,tamborins
151,dois cu,0.00,0.00,,0.00,0.00,
152,dois cu,0.00,1.00,variacao ritmica,0.00,0.00,
153,dois cu,0.00,0.00,,0.00,0.00,
154,dois cu,0.00,0.00,,0.00,0.00,
155,dois cu,0.00,0.00,,0.00,0.00,
156,dois cu,0.00,0.00,,0.00,0.00,
157,dois cu,0.00,0.00,,0.00,0.00,
158,dois cu,0.00,0.00,,0.00,0.00,
159,dois cu,0.00,0.00,,0.00,0.00,
160,dois cu,0.00,1.00,frase repiques,0.00,0.00,
161,dois cu,0.00,0.00,,0.00,0.00,
162,dois cu,0.00,0.00,,0.00,0.00,
163,dois cu,0.00,0.00,,0.00,0.00,
164,dois cu,0.00,0.00,,0.00,0.00,
165,dois cu,1.00,0.00,ritmo,0.00,0.10,caixas
166,dois cu,0.00,0.00,,0.00,0.00,
167,dois cu,0.00,0.00,,0.00,0.00,
168,samba,0.00,0.00,,0.00,0.00,
169,samba,0.00,0.00,,0.00,0.00,
170,samba,0.00,0.00,,0.00,0.00,
171,samba,0.00,0.00,,0.00,0.00,
172,samba,0.00,0.00,,0.00,0.00,
173,samba,0.00,0.00,,0.00,0.00,
174,samba,0.00,0.00,,0.00,0.00,
175,samba,0.00,0.00,,0.00,0.00,
176,samba,0.00,0.00,,0.00,0.00,
177,samba,0.00,0.00,,0.00,0.00,
178,samba,0.00,0.00,,0.00,0.00,
179,samba,0.00,0.00,,0.00,0.00,
180,samba,0.00,0.00,,0.00,0.00,
181,samba,0.00,0.00,,0.00,0.00,
182,dedos,0.00,0.00,,0.00,0.00,
183,dedos,0.00,0.00,,0.00,0.00,
184,dedos,0.00,0.00,,0.00,0.00,
185,dedos,0.00,0.00,,0.00,0.10,tamborins
186,dedos,0.00,0.00,,0.00,0.00,
187,dedos,0.00,0.00,,0.00,0.00,
188,dedos,0.00,1.00,fraseado naipes,0.00,0.00,
189,dedos,0.00,0.00,,0.00,0.00,
190,dedos,0.00,0.00,,0.00,0.00,
191,dedos,0.00,0.00,,0.00,0.00,
192,dedos,0.00,0.00,,0.00,0.00,
